ordem	sigla_tabela	nome_site_daqui_em_diante	nome_site_original	classe_ibge	eixo	status_modelo	descricao_tecnica
1	id	ID	ID	Identificação	Identificação	Não	ID único da célula de (50m,100m,200m)
2	divisao_geografica	Divisão Geográfica	Divisão Geográfica	Identificação	Identificação	Não	Divisão Geográfica IBGE
3	divisao_coluna	Divisão Geográfica	Divisão Geográfica	Identificação	Identificação	Não	Divisão Geográfica IBGE
4	id_res_m	Resolução da célula	Resolução da célula	Identificação	Identificação	Não	Resolução da célula (50, 100, 200m)
5	id_col	ID coluna	ID coluna	Identificação	Identificação	Não	Coordenada X (Coluna)
6	id_row	ID linha	ID linha	Identificação	Identificação	Não	Coordenada Y (Linha)
7	id_200m	ID célula 200m	ID célula 200m	Identificação	Identificação	Não	ID célula 200m
8	id_100m	ID célula 100m	ID célula 100m	Identificação	Identificação	Não	ID célula 100m
9	id_grid_1km	ID grid 1km	ID grid 1km	Identificação	Identificação	Não	ID grid 1km
10	id_grid_5km	ID grid 5km	ID grid 5km	Identificação	Identificação	Não	ID grid 5km
11	id_grid_10km	ID grid 10km	ID grid 10km	Identificação	Identificação	Não	ID grid 10km
12	id_grid_50km	ID grid 50km	ID grid 50km	Identificação	Identificação	Não	ID grid 50km
13	id_grid_100km	ID grid 100km	ID grid 100km	Identificação	Identificação	Não	ID grid 100km
14	id_grid_500km	ID grid 500km	ID grid 500km	Identificação	Identificação	Não	ID grid 500km
15	id_quadrante	ID quadrante	ID quadrante	Identificação	Identificação	Não	ID quadrante
16	id_quadrante_origem	ID quadrante	ID quadrante	Identificação	Identificação	Não	ID quadrante
17	id_rg2017_cd_mun	Código Município	Código Município	Identificação	Identificação	Não	Código Município
18	id_rg2017_mun_nome	Nome Município	Nome Município	Identificação	Identificação	Não	Nome Município
19	id_rg2017_cd_uf	Código UF	Código UF	Identificação	Identificação	Não	Código UF
20	id_rg2017_cd_rgi	Código RGI	Código RGI	Identificação	Identificação	Não	Código RGI
21	id_rg2017_nome_rgi	Nome RGI	Nome RGI	Identificação	Identificação	Não	Nome RGI
22	id_rg2017_cd_rgint	Código RGInt	Código RGInt	Identificação	Identificação	Não	Código RGInt
23	id_rg2017_nome_rgint	Nome RGInt	Nome RGInt	Identificação	Identificação	Não	Nome RGInt
24	id_ibge_cd_setor	Código setor censitário	Código setor censitário	Identificação	Identificação	Não	Código setor censitário
25	has_urbano_idade	Área ocupada MapBiomas	Área ocupada MapBiomas	Identificação	Identificação	Não	Área ocupada MapBiomas
26	has_urbano_au2019	Área ocupada IBGE 2019	Área ocupada IBGE 2019	Identificação	Identificação	Não	Área ocupada IBGE 2019
27	has_cnefe	Área ocupada CNEFE	Área ocupada CNEFE	Identificação	Identificação	Não	Área ocupada CNEFE
28	cnefe_qtd_dom	Contagem Domicílios	Contagem Domicílios	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Quatidade de domicílios na célula
29	ibge_totaldppo	Total domicílios	Total domicílios	Edificações, arruamento, parametros urbanísticos	Bloqueadas	Não	Domicílios Particulares Permanentes Ocupados
30	ibge_totalmora	Total pessoas	Total pessoas	Edificações, arruamento, parametros urbanísticos	Bloqueadas	Não	Total de pessoas
31	p_ibge_naorede	Sem rede d'água	Sem rede d'água	Serviços Públicos	Infraestrutura	Sim	% Domicílios com outra forma de abastecimento de água que não rede geral
32	has_fcu_centroid	Célula FCU	Célula FCU	Identificação	Identificação	Não	Tem favela no centroide do quadrante
33	has_fcu_n_setorizada	Célula FCU não setorizada	Célula FCU não setorizada	Identificação	Identificação	Não	Célula FCU não setorizada
34	has_fcu_setorizada	Célula FCU setorizada	Célula FCU setorizada	Identificação	Identificação	Não	Célula FCU setorizada
35	tipo_fcu	Tipo FCU	Tipo FCU	Identificação	Identificação	Não	Tipo FCU
36	id_fcu	ID FCU	ID FCU	Identificação	Identificação	Não	ID FCU
37	cd_fcu	Código FCU	Código FCU	Identificação	Identificação	Não	Código FCU
38	nm_fcu	Nome FCU	Nome FCU	Identificação	Identificação	Não	Nome FCU
39	fcu_cd_uf	Código UF	Código UF	Identificação	Identificação	Não	Código UF
40	fcu_nm_uf	Nome UF	Nome UF	Identificação	Identificação	Não	Nome UF
41	fcu_sigla_uf	Sigla UF	Sigla UF	Identificação	Identificação	Não	Sigla UF
42	fcu_cd_mun	Código Município	Código Município	Identificação	Identificação	Não	Código Município
43	fcu_nm_mun	Nome Município	Nome Município	Identificação	Identificação	Não	Nome Município
44	fcu_setorizado	Célula FCU setorizada	Célula FCU setorizada	Identificação	Identificação	Não	Célula FCU setorizada
45	fcu_has_fcu_setorizada	Célula FCU setorizada	Célula FCU setorizada	Identificação	Identificação	Não	Célula FCU setorizada
46	fcu_tipo_texto	FCU tipo	FCU tipo	Identificação	Identificação	Não	FCU tipo
47	fcu_fonte_fcu	FCU fonte	FCU fonte	Identificação	Identificação	Não	FCU fonte
48	fcu_partes_origem	FCU origem	FCU origem	Identificação	Identificação	Não	FCU origem
49	fcu_match_count	FCU contagem	FCU contagem	Identificação	Identificação	Não	FCU contagem
50	fcu_area_km2	FCU área (km2)	FCU área (km2)	Identificação	Identificação	Não	FCU área (km2)
51	p_ibge_banhinad	Sem banheiro (agregado)	Sem banheiro (agregado)	Edificações, arruamento, parametros urbanísticos	Infraestrutura	Sim	% Domicílios com banheiro de uso comum, apenas sanitário ou sem banheiro
52	p_ibge_1banhexc	1 banheiro exclusivo	1 banheiro exclusivo	Edificações, arruamento, parametros urbanísticos	Infraestrutura	Sim	% Domicílios com 1 banheiro de uso exclusivo
53	m_ibge_banh	Banheiros por morador	Banheiros por morador	Edificações, arruamento, parametros urbanísticos	Infraestrutura	Sim	Média de banheiros por habitante
54	p_ibge_vmoto	Via compartilhada	Via compartilhada	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com circulação da via - pedestres, bicicletas e motocicletas
55	p_ibge_vnaopavi	Via não pavimentada	Via não pavimentada	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com via pavimentada - Não
56	p_ibge_naobueir	Sem bueiro	Sem bueiro	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com bueiro - Não
57	p_ibge_naoilupub	Sem iluminação pública	Sem iluminação pública	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com iluminação pública - Não
58	p_ibge_naocalca	Sem calçada	Sem calçada	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com calçada - Não
59	p_ibge_obsta	Calçada com obstáculo	Calçada com obstáculo	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	% Domicílios em face com obstáculo na calçada - Sim
60	p_ibge_calcainade	Calçada inadequada	% IBGE calcainade	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	Proporcao de celulas/setores com calcada inadequada, considerando sem calcada ou calcada com obstaculo.
61	p_ibge_naoarbo	Sem arborização	% IBGE naoarbo	Edificações, arruamento, parametros urbanísticos	Entorno	Sim	Proporcao do entorno sem arborizacao, calculada sobre as categorias validas de arborizacao.
62	p_ibge_esginade	Esgoto inadequado	% IBGE esginade	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios com esgotamento sanitario inadequado.
63	p_ibge_lixoinade	Coleta de lixo inadequada	% IBGE lixoinade	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios com destino do lixo inadequado.
64	p_ibge_lixocaca	Lixo em caçamba	% IBGE lixocaca	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios cujo lixo e coletado em cacamba/servico equivalente da classificacao Censo.
65	p_ibge_lixoquei	Lixo queimado	% IBGE lixoquei	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios cujo lixo e queimado.
66	p_ibge_lixoente	% IBGE lixoente	% IBGE lixoente	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios cujo lixo e enterrado.
67	p_ibge_lixoterr	% IBGE lixoterr	% IBGE lixoterr	Serviços Públicos	Infraestrutura	Sim	Proporcao de domicilios cujo lixo e jogado em terreno, logradouro ou corpo d'agua.
68	m_ibge_renddppo	Renda média domiciliar	Média IBGE renddppo	Censo, domicílios e infraestrutura	Renda	Sim	Rendimento medio mensal dos domicilios particulares permanentes ocupados, conforme campo V06004 do Censo.
69	ibge_mediadom	Domicílios	Domicílios	Edificações, arruamento, parametros urbanísticos	Densidade	Não	Média de domicílios na célula
70	ibge_mediapop	População	População	Edificações, arruamento, parametros urbanísticos	Densidade	Não	Média Populacional na célula
71	ibge_mediapopdom	População por domicílio	População por domicílio	Edificações, arruamento, parametros urbanísticos	Densidade	Não	Média populacional por domicílios na célula
72	area_rgint_redencao	RGInt Redenção	RGInt Redenção	Identificação	Identificação	Não	RGInt Redenção
73	area_conc_urb_curitiba	Concentração Urbana Curitiba	Concentração Urbana Curitiba	Identificação	Identificação	Não	Concentração Urbana Curitiba
74	area_conc_urb_fortaleza	Concentração Urbana Fortaleza	Concentração Urbana Fortaleza	Identificação	Identificação	Não	Concentração Urbana Fortaleza
75	area_conc_urb_goiania	Concentração Urbana Goiânia	Concentração Urbana Goiânia	Identificação	Identificação	Não	Concentração Urbana Goiânia
76	area_conc_urb_sao_paulo	Concentração Urbana São Paulo	Concentração Urbana São Paulo	Identificação	Identificação	Não	Concentração Urbana São Paulo
77	area_rgint_macapa	RGInt Macapá	RGInt Macapá	Identificação	Identificação	Não	RGInt Macapá
78	area_rgint_belem	RGInt Belém	RGInt Belém	Identificação	Identificação	Não	RGInt Belém
79	area_conc_urb_rio_de_janeiro	area conc urb rio de janeiro	area conc urb rio de janeiro	Identificação	Identificação	Não	Indicador de pertencimento ao recorte da concentracao urbana do Rio de Janeiro.
80	geometry	Geometria	Geometria	Identificação	Identificação	Não	Geometria
81	has_decliv30	Declividade crítica acima de 30%	Indicador decliv30	Áreas com restrição a ocupação	Morfológico	Sim	Indicador de celula cujo centroide cai em pixel de declividade acima do limiar definido no script.
82	m_shapeindex_quadra	Forma das quadras	Média shapeindex quadra	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Indice de forma da quadra OSM associada ao centroide da celula; quanto maior, mais irregular/menos compacta.
83	idade_ocupacao_media	Idade média da ocupação urbana	idade ocupacao media	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Idade media de ocupacao urbana da celula a partir do primeiro ano urbanizado.
84	idade_ocupacao_menor	Ocupação urbana mais recente	idade ocupacao menor	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Menor idade de ocupacao urbana observada na celula.
85	idade_ocupacao_maior	Ocupação urbana mais antiga	idade ocupacao maior	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Maior idade de ocupacao urbana observada na celula.
86	has_restricao_final	Restrição urbana	Indicador restricao final	Áreas com restrição a ocupação	Morfológico	Sim	Células com restrição a ocupação: rodovias, ferrovias, oleoduto, linhas de transmissao, hidrografia, UCs, susc. a inundação, declividade
87	bf_num_edif	BF num edif	BF num edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Numero de edificios Building Footprints com centroide dentro da celula.
88	bf_area_constr_m2	BF area constr m2	BF area constr m2	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Soma da area dos edificios Building Footprints dentro da celula, em metros quadrados.
89	p_bf_area_constr	% BF area constr	% BF area constr	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporcao da area da celula ocupada por edificios Building Footprints.
90	m_bf_area_edif	Média BF area edif	Média BF area edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Area media dos edificios Building Footprints dentro da celula.
91	m_bf_perim_edif	Média BF perim edif	Média BF perim edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Perimetro medio dos edificios Building Footprints dentro da celula.
92	m_bf_reg_edif	Média BF reg edif	Média BF reg edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Compacidade media dos edificios Building Footprints.
93	m_bf_quadr_edif	Média BF quadr edif	Média BF quadr edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Alongamento medio dos edificios Building Footprints.
94	m_bf_shapein_edif	Média BF shapein edif	Média BF shapein edif	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Shape index medio dos edificios Building Footprints.
95	m_bf_hull_edif	Média BF hull edif	Média BF hull edif	Edificações, arruamento, parametros urbanísticos	Morfológico	Não	Média da área hull das edificações
96	m_bf_distviz_edif	Média BF distviz edif	Média BF distviz edif	Edificações, arruamento, parametros urbanísticos	Morfológico	Não	Distância média entre edifícios vizinhos
97	vias_carro_dist	Distância até via carroçável	vias carro dist	Edificações, arruamento, parametros urbanísticos	Morfológico	Sim	Distancia do centroide da celula ate a via carrocavel mais proxima.
98	p_vias_50m	Proximidade de vias carroçáveis	% vias 50m	Edificações, arruamento, parametros urbanísticos	Morfológico	Sim	Proporcao da celula coberta pelo buffer de 50 metros das vias carroçaveis.
99	has_app	Presença de APP	Indicador APP	Áreas com restrição a ocupação	Morfológico	Sim	Indicador de celula com area de APP/restricao ambiental.
100	app_area_m2	APP area m2	APP area m2	Áreas com restrição a ocupação	Morfológico	Sim	Area de intersecao entre APP/restricao ambiental e a celula, em metros quadrados.
101	p_app_area	% APP area	% APP area	Áreas com restrição a ocupação	Morfológico	Sim	Proporcao da area da celula ocupada por APP/restricao ambiental.
102	ibge_mediadomc	Domicílios tipo casa por célula	Domicílios tipo casa por célula	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média estimada de domicílios tipo casa por célula de 50 m. O total do setor censitário é distribuído igualmente entre as células que intersectam o setor.
